Timestamp,Voltage_mV
2025-04-27 11:20:27.275,1,29.66
2025-04-27 11:20:27.279,1,34.55
2025-04-27 11:20:27.283,1,39.6
2025-04-27 11:20:27.287,1,44.77
2025-04-27 11:20:27.291,1,50.0
2025-04-27 11:20:27.295,1,55.23
2025-04-27 11:20:27.299,1,60.4
2025-04-27 11:20:27.303,1,65.45
2025-04-27 11:20:27.307,1,70.34
2025-04-27 11:20:27.311,1,75.0
2025-04-27 11:20:27.315,1,79.39
2025-04-27 11:20:27.319,1,83.46
2025-04-27 11:20:27.323,1,87.16
2025-04-27 11:20:27.327,1,90.45
2025-04-27 11:20:27.331,1,93.3
2025-04-27 11:20:27.335,1,95.68
2025-04-27 11:20:27.339,1,97.55
2025-04-27 11:20:27.343,1,98.91
2025-04-27 11:20:27.347,1,99.73
2025-04-27 11:20:27.351,1,100.0
2025-04-27 11:20:27.355,1,99.73
2025-04-27 11:20:27.359,1,98.91
2025-04-27 11:20:27.363,1,97.55
2025-04-27 11:20:27.367,1,95.68
2025-04-27 11:20:27.371,1,93.3
2025-04-27 11:20:27.375,1,90.45
2025-04-27 11:20:27.379,1,87.16
2025-04-27 11:20:27.383,1,83.46
2025-04-27 11:20:27.387,1,79.39
2025-04-27 11:20:27.391,1,75.0
2025-04-27 11:20:27.395,1,70.34
2025-04-27 11:20:27.399,1,65.45
2025-04-27 11:20:27.403,1,60.4
2025-04-27 11:20:27.407,1,55.23
2025-04-27 11:20:27.411,1,50.0
2025-04-27 11:20:27.415,1,44.77
2025-04-27 11:20:27.419,1,39.6
2025-04-27 11:20:27.423,1,34.55
2025-04-27 11:20:27.427,1,29.66
2025-04-27 11:20:27.431,1,25.0
2025-04-27 11:20:27.435,1,20.61
2025-04-27 11:20:27.439,1,16.54
2025-04-27 11:20:27.443,1,12.84
2025-04-27 11:20:27.447,1,9.55
2025-04-27 11:20:27.451,1,6.7
2025-04-27 11:20:27.455,1,4.32
2025-04-27 11:20:27.459,1,2.45
2025-04-27 11:20:27.463,1,1.09
2025-04-27 11:20:27.467,1,0.27
2025-04-27 11:20:27.471,1,0.0
2025-04-27 11:20:27.475,1,0.27
2025-04-27 11:20:27.479,1,1.09
2025-04-27 11:20:27.483,1,2.45
2025-04-27 11:20:27.487,1,4.32
2025-04-27 11:20:27.491,1,6.7
2025-04-27 11:20:27.495,1,9.55
2025-04-27 11:20:27.499,1,12.84
2025-04-27 11:20:27.503,1,16.54
2025-04-27 11:20:27.507,1,20.61
2025-04-27 11:20:27.511,1,25.0
2025-04-27 11:20:27.515,1,29.66
2025-04-27 11:20:27.519,1,34.55
2025-04-27 11:20:27.523,1,39.6
2025-04-27 11:20:27.527,1,44.77
2025-04-27 11:20:27.531,1,50.0
2025-04-27 11:20:27.535,1,55.23
2025-04-27 11:20:27.539,1,60.4
2025-04-27 11:20:27.543,1,65.45
2025-04-27 11:20:27.547,1,70.34
2025-04-27 11:20:27.551,1,75.0
2025-04-27 11:20:27.555,1,79.39
2025-04-27 11:20:27.559,1,83.46
2025-04-27 11:20:27.563,1,87.16
2025-04-27 11:20:27.567,1,90.45
2025-04-27 11:20:27.571,1,93.3
2025-04-27 11:20:27.575,1,95.68
2025-04-27 11:20:27.579,1,97.55
2025-04-27 11:20:27.583,1,98.91
2025-04-27 11:20:27.587,1,99.73
2025-04-27 11:20:27.591,1,100.0
2025-04-27 11:20:27.595,1,99.73
2025-04-27 11:20:27.599,1,98.91
2025-04-27 11:20:27.603,1,97.55
2025-04-27 11:20:27.607,1,95.68
2025-04-27 11:20:27.611,1,93.3
2025-04-27 11:20:27.615,1,90.45
2025-04-27 11:20:27.619,1,87.16
2025-04-27 11:20:27.623,1,83.46
2025-04-27 11:20:27.627,1,79.39
2025-04-27 11:20:27.631,1,75.0
2025-04-27 11:20:27.635,1,70.34
2025-04-27 11:20:27.639,1,65.45
2025-04-27 11:20:27.643,1,60.4
2025-04-27 11:20:27.647,1,55.23
2025-04-27 11:20:27.651,1,50.0
2025-04-27 11:20:27.655,1,44.77
2025-04-27 11:20:27.659,1,39.6
2025-04-27 11:20:27.663,1,34.55
2025-04-27 11:20:27.667,1,29.66
2025-04-27 11:20:27.671,1,25.0
2025-04-27 11:20:27.675,1,20.61
2025-04-27 11:20:27.679,1,16.54
2025-04-27 11:20:27.683,1,12.84
2025-04-27 11:20:27.687,1,9.55
2025-04-27 11:20:27.691,1,6.7
2025-04-27 11:20:27.695,1,4.32
2025-04-27 11:20:27.699,1,2.45
2025-04-27 11:20:27.703,1,1.09
2025-04-27 11:20:27.707,1,0.27
2025-04-27 11:20:27.711,1,0.0
2025-04-27 11:20:27.715,1,0.27
2025-04-27 11:20:27.719,1,1.09
2025-04-27 11:20:27.723,1,2.45
2025-04-27 11:20:27.727,1,4.32
2025-04-27 11:20:27.731,1,6.7
2025-04-27 11:20:27.735,1,9.55
2025-04-27 11:20:27.739,1,12.84
2025-04-27 11:20:27.743,1,16.54
2025-04-27 11:20:27.747,1,20.61
2025-04-27 11:20:27.751,1,25.0
2025-04-27 11:20:27.755,1,29.66
2025-04-27 11:20:27.759,1,34.55
2025-04-27 11:20:27.763,1,39.6
2025-04-27 11:20:27.767,1,44.77
2025-04-27 11:20:27.771,1,50.0
2025-04-27 11:20:27.775,1,55.23
2025-04-27 11:20:27.779,1,60.4
2025-04-27 11:20:27.783,1,65.45
2025-04-27 11:20:27.787,1,70.34
2025-04-27 11:20:27.791,1,75.0
2025-04-27 11:20:27.795,1,79.39
2025-04-27 11:20:27.799,1,83.46
2025-04-27 11:20:27.803,1,87.16
2025-04-27 11:20:27.807,1,90.45
2025-04-27 11:20:27.811,1,93.3
2025-04-27 11:20:27.815,1,95.68
2025-04-27 11:20:27.819,1,97.55
2025-04-27 11:20:27.823,1,98.91
2025-04-27 11:20:27.827,1,99.73
2025-04-27 11:20:27.831,1,100.0
2025-04-27 11:20:27.835,1,99.73
2025-04-27 11:20:27.839,1,98.91
2025-04-27 11:20:27.843,1,97.55
2025-04-27 11:20:27.847,1,95.68
2025-04-27 11:20:27.851,1,93.3
2025-04-27 11:20:27.855,1,90.45
2025-04-27 11:20:27.859,1,87.16
2025-04-27 11:20:27.863,1,83.46
2025-04-27 11:20:27.867,1,79.39
2025-04-27 11:20:27.871,1,75.0
2025-04-27 11:20:27.875,1,70.34
2025-04-27 11:20:27.879,1,65.45
2025-04-27 11:20:27.883,1,60.4
2025-04-27 11:20:27.887,1,55.23
2025-04-27 11:20:27.891,1,50.0
2025-04-27 11:20:27.895,1,44.77
2025-04-27 11:20:27.899,1,39.6
2025-04-27 11:20:27.903,1,34.55
2025-04-27 11:20:27.907,1,29.66
2025-04-27 11:20:27.911,1,25.0
2025-04-27 11:20:27.915,1,20.61
2025-04-27 11:20:27.919,1,16.54
2025-04-27 11:20:27.923,1,12.84
2025-04-27 11:20:27.927,1,9.55
2025-04-27 11:20:27.931,1,6.7
2025-04-27 11:20:27.935,1,4.32
2025-04-27 11:20:27.939,1,2.45
2025-04-27 11:20:27.943,1,1.09
2025-04-27 11:20:27.947,1,0.27
2025-04-27 11:20:27.951,1,0.0
2025-04-27 11:20:27.955,1,0.27
2025-04-27 11:20:27.959,1,1.09
2025-04-27 11:20:27.963,1,2.45
2025-04-27 11:20:27.967,1,4.32
2025-04-27 11:20:27.971,1,6.7
2025-04-27 11:20:27.975,1,9.55
2025-04-27 11:20:27.979,1,12.84
2025-04-27 11:20:27.983,1,16.54
2025-04-27 11:20:27.987,1,20.61
2025-04-27 11:20:27.991,1,25.0
2025-04-27 11:20:27.995,1,29.66
2025-04-27 11:20:27.999,1,34.55
2025-04-27 11:20:28.003,1,39.6
2025-04-27 11:20:28.007,1,44.77
2025-04-27 11:20:28.011,1,50.0
2025-04-27 11:20:28.015,1,55.23
2025-04-27 11:20:28.019,1,60.4
2025-04-27 11:20:28.023,1,65.45
2025-04-27 11:20:28.027,1,70.34
2025-04-27 11:20:28.031,1,75.0
2025-04-27 11:20:28.035,1,79.39
2025-04-27 11:20:28.039,1,83.46
2025-04-27 11:20:28.043,1,87.16
2025-04-27 11:20:28.047,1,90.45
2025-04-27 11:20:28.051,1,93.3
2025-04-27 11:20:28.055,1,95.68
2025-04-27 11:20:28.059,1,97.55
2025-04-27 11:20:28.063,1,98.91
2025-04-27 11:20:28.067,1,99.73
2025-04-27 11:20:28.071,1,100.0
2025-04-27 11:20:28.075,1,99.73
2025-04-27 11:20:28.079,1,98.91
2025-04-27 11:20:28.083,1,97.55
2025-04-27 11:20:28.087,1,95.68
2025-04-27 11:20:28.091,1,93.3
2025-04-27 11:20:28.095,1,90.45
2025-04-27 11:20:28.099,1,87.16
2025-04-27 11:20:28.103,1,83.46
2025-04-27 11:20:28.107,1,79.39
2025-04-27 11:20:28.111,1,75.0
2025-04-27 11:20:28.115,1,70.34
2025-04-27 11:20:28.119,1,65.45
2025-04-27 11:20:28.123,1,60.4
2025-04-27 11:20:28.127,1,55.23
2025-04-27 11:20:28.131,1,50.0
2025-04-27 11:20:28.135,1,44.77
2025-04-27 11:20:28.139,1,39.6
2025-04-27 11:20:28.143,1,34.55
2025-04-27 11:20:28.147,1,29.66
2025-04-27 11:20:28.151,1,25.0
2025-04-27 11:20:28.155,1,20.61
2025-04-27 11:20:28.159,1,16.54
2025-04-27 11:20:28.163,1,12.84
2025-04-27 11:20:28.167,1,9.55
2025-04-27 11:20:28.171,1,6.7
2025-04-27 11:20:28.175,1,4.32
2025-04-27 11:20:28.179,1,2.45
2025-04-27 11:20:28.183,1,1.09
2025-04-27 11:20:28.187,1,0.27
2025-04-27 11:20:28.191,1,0.0
2025-04-27 11:20:28.195,1,0.27
2025-04-27 11:20:28.199,1,1.09
2025-04-27 11:20:28.203,1,2.45
2025-04-27 11:20:28.207,1,4.32
2025-04-27 11:20:28.211,1,6.7
2025-04-27 11:20:28.215,1,9.55
2025-04-27 11:20:28.219,1,12.84
2025-04-27 11:20:28.223,1,16.54
2025-04-27 11:20:28.227,1,20.61
2025-04-27 11:20:28.231,1,25.0
2025-04-27 11:20:28.235,1,29.66
2025-04-27 11:20:28.239,1,34.55
2025-04-27 11:20:28.243,1,39.6
2025-04-27 11:20:28.247,1,44.77
2025-04-27 11:20:28.251,1,50.0
2025-04-27 11:20:28.255,1,55.23
2025-04-27 11:20:28.259,1,60.4
2025-04-27 11:20:28.263,1,65.45
2025-04-27 11:20:28.267,1,70.34
2025-04-27 11:20:28.271,1,75.0
2025-04-27 11:20:28.275,1,79.39
2025-04-27 11:20:28.279,1,83.46
2025-04-27 11:20:28.283,1,87.16
2025-04-27 11:20:28.287,1,90.45
2025-04-27 11:20:28.291,1,93.3
2025-04-27 11:20:28.295,1,95.68
2025-04-27 11:20:28.299,1,97.55
2025-04-27 11:20:28.303,1,98.91
2025-04-27 11:20:28.307,1,99.73
2025-04-27 11:20:28.311,1,100.0
2025-04-27 11:20:28.315,1,99.73
2025-04-27 11:20:28.319,1,98.91
2025-04-27 11:20:28.323,1,97.55
2025-04-27 11:20:28.327,1,95.68
2025-04-27 11:20:28.331,1,93.3
2025-04-27 11:20:28.335,1,90.45
2025-04-27 11:20:28.339,1,87.16
2025-04-27 11:20:28.343,1,83.46
2025-04-27 11:20:28.347,1,79.39
2025-04-27 11:20:28.351,1,75.0
2025-04-27 11:20:28.355,1,70.34
2025-04-27 11:20:28.359,1,65.45
2025-04-27 11:20:28.363,1,60.4
2025-04-27 11:20:28.367,1,55.23
2025-04-27 11:20:28.371,1,50.0
2025-04-27 11:20:28.375,1,44.77
2025-04-27 11:20:28.379,1,39.6
2025-04-27 11:20:28.383,1,34.55
2025-04-27 11:20:28.387,1,29.66
2025-04-27 11:20:28.391,1,25.0
2025-04-27 11:20:28.395,1,20.61
2025-04-27 11:20:28.399,1,16.54
2025-04-27 11:20:28.403,1,12.84
2025-04-27 11:20:28.407,1,9.55
2025-04-27 11:20:28.411,1,6.7
2025-04-27 11:20:28.415,1,4.32
2025-04-27 11:20:28.419,1,2.45
2025-04-27 11:20:28.423,1,1.09
2025-04-27 11:20:28.427,1,0.27
2025-04-27 11:20:28.431,1,0.0
2025-04-27 11:20:28.435,1,0.27
2025-04-27 11:20:28.439,1,1.09
2025-04-27 11:20:28.443,1,2.45
2025-04-27 11:20:28.447,1,4.32
2025-04-27 11:20:28.451,1,6.7
2025-04-27 11:20:28.455,1,9.55
2025-04-27 11:20:28.459,1,12.84
2025-04-27 11:20:28.463,1,16.54
2025-04-27 11:20:28.467,1,20.61
2025-04-27 11:20:28.471,1,25.0
2025-04-27 11:20:28.475,1,29.66
2025-04-27 11:20:28.479,1,34.55
2025-04-27 11:20:28.483,1,39.6
2025-04-27 11:20:28.487,1,44.77
2025-04-27 11:20:28.491,1,50.0
2025-04-27 11:20:28.495,1,55.23
2025-04-27 11:20:28.499,1,60.4
2025-04-27 11:20:28.503,1,65.45
2025-04-27 11:20:28.507,1,70.34
2025-04-27 11:20:28.511,1,75.0
2025-04-27 11:20:28.515,1,79.39
2025-04-27 11:20:28.519,1,83.46
2025-04-27 11:20:28.523,1,87.16
2025-04-27 11:20:28.527,1,90.45
2025-04-27 11:20:28.531,1,93.3
2025-04-27 11:20:28.535,1,95.68
2025-04-27 11:20:28.539,1,97.55
2025-04-27 11:20:28.543,1,98.91
2025-04-27 11:20:28.547,1,99.73
2025-04-27 11:20:28.551,1,100.0
2025-04-27 11:20:28.555,1,99.73
2025-04-27 11:20:28.559,1,98.91
2025-04-27 11:20:28.563,1,97.55
2025-04-27 11:20:28.567,1,95.68
2025-04-27 11:20:28.571,1,93.3
2025-04-27 11:20:28.575,1,90.45
2025-04-27 11:20:28.579,1,87.16
2025-04-27 11:20:28.583,1,83.46
2025-04-27 11:20:28.587,1,79.39
2025-04-27 11:20:28.591,1,75.0
2025-04-27 11:20:28.595,1,70.34
2025-04-27 11:20:28.599,1,65.45
2025-04-27 11:20:28.603,1,60.4
2025-04-27 11:20:28.607,1,55.23
2025-04-27 11:20:28.611,1,50.0
2025-04-27 11:20:28.615,1,44.77
2025-04-27 11:20:28.619,1,39.6
2025-04-27 11:20:28.623,1,34.55
2025-04-27 11:20:28.627,1,29.66
2025-04-27 11:20:28.631,1,25.0
2025-04-27 11:20:28.635,1,20.61
2025-04-27 11:20:28.639,1,16.54
2025-04-27 11:20:28.643,1,12.84
2025-04-27 11:20:28.647,1,9.55
2025-04-27 11:20:28.651,1,6.7
2025-04-27 11:20:28.655,1,4.32
2025-04-27 11:20:28.659,1,2.45
2025-04-27 11:20:28.663,1,1.09
2025-04-27 11:20:28.667,1,0.27
2025-04-27 11:20:28.671,1,0.0
2025-04-27 11:20:28.675,1,0.27
2025-04-27 11:20:28.679,1,1.09
2025-04-27 11:20:28.683,1,2.45
2025-04-27 11:20:28.687,1,4.32
2025-04-27 11:20:28.691,1,6.7
2025-04-27 11:20:28.695,1,9.55
2025-04-27 11:20:28.699,1,12.84
2025-04-27 11:20:28.703,1,16.54
2025-04-27 11:20:28.707,1,20.61
2025-04-27 11:20:28.711,1,25.0
2025-04-27 11:20:28.715,1,29.66
2025-04-27 11:20:28.719,1,34.55
2025-04-27 11:20:28.723,1,39.6
2025-04-27 11:20:28.727,1,44.77
2025-04-27 11:20:28.731,1,50.0
2025-04-27 11:20:28.735,1,55.23
2025-04-27 11:20:28.739,1,60.4
2025-04-27 11:20:28.743,1,65.45
2025-04-27 11:20:28.747,1,70.34
2025-04-27 11:20:28.751,1,75.0
2025-04-27 11:20:28.755,1,79.39
2025-04-27 11:20:28.759,1,83.46
2025-04-27 11:20:28.763,1,87.16
2025-04-27 11:20:28.767,1,90.45
2025-04-27 11:20:28.771,1,93.3
2025-04-27 11:20:28.775,1,95.68
2025-04-27 11:20:28.779,1,97.55
2025-04-27 11:20:28.783,1,98.91
2025-04-27 11:20:28.787,1,99.73
2025-04-27 11:20:28.791,1,100.0
2025-04-27 11:20:28.795,1,99.73
2025-04-27 11:20:28.799,1,98.91
2025-04-27 11:20:28.803,1,97.55
2025-04-27 11:20:28.807,1,95.68
2025-04-27 11:20:28.811,1,93.3
2025-04-27 11:20:28.815,1,90.45
2025-04-27 11:20:28.819,1,87.16
2025-04-27 11:20:28.823,1,83.46
2025-04-27 11:20:28.827,1,79.39
2025-04-27 11:20:28.831,1,75.0
2025-04-27 11:20:28.835,1,70.34
2025-04-27 11:20:28.839,1,65.45
2025-04-27 11:20:28.843,1,60.4
2025-04-27 11:20:28.847,1,55.23
2025-04-27 11:20:28.851,1,50.0
2025-04-27 11:20:28.855,1,44.77
2025-04-27 11:20:28.859,1,39.6
2025-04-27 11:20:28.863,1,34.55
2025-04-27 11:20:28.867,1,29.66
2025-04-27 11:20:28.871,1,25.0
2025-04-27 11:20:28.875,1,20.61
2025-04-27 11:20:28.879,1,16.54
2025-04-27 11:20:28.883,1,12.84
2025-04-27 11:20:28.887,1,9.55
2025-04-27 11:20:28.891,1,6.7
2025-04-27 11:20:28.895,1,4.32
2025-04-27 11:20:28.899,1,2.45
2025-04-27 11:20:28.903,1,1.09
2025-04-27 11:20:28.907,1,0.27
2025-04-27 11:20:28.911,1,0.0
2025-04-27 11:20:28.915,1,0.27
2025-04-27 11:20:28.919,1,1.09
2025-04-27 11:20:28.923,1,2.45
2025-04-27 11:20:28.927,1,4.32
2025-04-27 11:20:28.931,1,6.7
2025-04-27 11:20:28.935,1,9.55
2025-04-27 11:20:28.939,1,12.84
2025-04-27 11:20:28.943,1,16.54
2025-04-27 11:20:28.947,1,20.61
2025-04-27 11:20:28.951,1,25.0
2025-04-27 11:20:28.955,1,29.66
2025-04-27 11:20:28.959,1,34.55
2025-04-27 11:20:28.963,1,39.6
2025-04-27 11:20:28.967,1,44.77
2025-04-27 11:20:28.971,1,50.0
2025-04-27 11:20:28.975,1,55.23
2025-04-27 11:20:28.979,1,60.4
2025-04-27 11:20:28.983,1,65.45
2025-04-27 11:20:28.987,1,70.34
2025-04-27 11:20:28.991,1,75.0
2025-04-27 11:20:28.995,1,79.39
2025-04-27 11:20:28.999,1,83.46
2025-04-27 11:20:29.003,1,87.16
2025-04-27 11:20:29.007,1,90.45
2025-04-27 11:20:29.011,1,93.3
2025-04-27 11:20:29.015,1,95.68
2025-04-27 11:20:29.019,1,97.55
2025-04-27 11:20:29.023,1,98.91
2025-04-27 11:20:29.027,1,99.73
2025-04-27 11:20:29.031,1,100.0
2025-04-27 11:20:29.035,1,99.73
2025-04-27 11:20:29.039,1,98.91
2025-04-27 11:20:29.043,1,97.55
2025-04-27 11:20:29.047,1,95.68
2025-04-27 11:20:29.051,1,93.3
2025-04-27 11:20:29.055,1,90.45
2025-04-27 11:20:29.059,1,87.16
2025-04-27 11:20:29.063,1,83.46
2025-04-27 11:20:29.067,1,79.39
2025-04-27 11:20:29.071,1,75.0
2025-04-27 11:20:29.075,1,70.34
2025-04-27 11:20:29.079,1,65.45
2025-04-27 11:20:29.083,1,60.4
2025-04-27 11:20:29.087,1,55.23
2025-04-27 11:20:29.091,1,50.0
2025-04-27 11:20:29.095,1,44.77
2025-04-27 11:20:29.099,1,39.6
2025-04-27 11:20:29.103,1,34.55
2025-04-27 11:20:29.107,1,29.66
2025-04-27 11:20:29.111,1,25.0
2025-04-27 11:20:29.115,1,20.61
2025-04-27 11:20:29.119,1,16.54
2025-04-27 11:20:29.123,1,12.84
2025-04-27 11:20:29.127,1,9.55
2025-04-27 11:20:29.131,1,6.7
2025-04-27 11:20:29.135,1,4.32
2025-04-27 11:20:29.139,1,2.45
2025-04-27 11:20:29.143,1,1.09
2025-04-27 11:20:29.147,1,0.27
2025-04-27 11:20:29.151,1,0.0
2025-04-27 11:20:29.155,1,0.27
2025-04-27 11:20:29.159,1,1.09
2025-04-27 11:20:29.163,1,2.45
2025-04-27 11:20:29.167,1,4.32
2025-04-27 11:20:29.171,1,6.7
2025-04-27 11:20:29.175,1,9.55
2025-04-27 11:20:29.179,1,12.84
2025-04-27 11:20:29.183,1,16.54
2025-04-27 11:20:29.187,1,20.61
2025-04-27 11:20:29.191,1,25.0
2025-04-27 11:20:29.195,1,29.66
2025-04-27 11:20:29.199,1,34.55
2025-04-27 11:20:29.203,1,39.6
2025-04-27 11:20:29.208,1,44.77
2025-04-27 11:20:29.211,1,50.0
2025-04-27 11:20:29.215,1,55.23
2025-04-27 11:20:29.219,1,60.4
2025-04-27 11:20:29.223,1,65.45
2025-04-27 11:20:29.227,1,70.34
2025-04-27 11:20:29.231,1,75.0
2025-04-27 11:20:29.235,1,79.39
2025-04-27 11:20:29.239,1,83.46
2025-04-27 11:20:29.243,1,87.16
2025-04-27 11:20:29.247,1,90.45
2025-04-27 11:20:29.251,1,93.3
2025-04-27 11:20:29.255,1,95.68
2025-04-27 11:20:29.259,1,97.55
2025-04-27 11:20:29.263,1,98.91
2025-04-27 11:20:29.267,1,99.73
2025-04-27 11:20:29.271,1,100.0
2025-04-27 11:20:29.275,1,99.73
2025-04-27 11:20:29.279,1,98.91
2025-04-27 11:20:29.283,1,97.55
2025-04-27 11:20:29.287,1,95.68
2025-04-27 11:20:29.291,1,93.3
2025-04-27 11:20:29.295,1,90.45
2025-04-27 11:20:29.299,1,87.16
2025-04-27 11:20:29.303,1,83.46
2025-04-27 11:20:29.307,1,79.39
2025-04-27 11:20:29.311,1,75.0
2025-04-27 11:20:29.315,1,70.34
2025-04-27 11:20:29.319,1,65.45
2025-04-27 11:20:29.323,1,60.4
2025-04-27 11:20:29.327,1,55.23
2025-04-27 11:20:29.331,1,50.0
2025-04-27 11:20:29.335,1,44.77
2025-04-27 11:20:29.339,1,39.6
2025-04-27 11:20:29.343,1,34.55
2025-04-27 11:20:29.347,1,29.66
2025-04-27 11:20:29.351,1,25.0
2025-04-27 11:20:29.355,1,20.61
2025-04-27 11:20:29.359,1,16.54
2025-04-27 11:20:29.364,1,12.84
2025-04-27 11:20:29.367,1,9.55
2025-04-27 11:20:29.371,1,6.7
2025-04-27 11:20:29.375,1,4.32
2025-04-27 11:20:29.379,1,2.45
2025-04-27 11:20:29.383,1,1.09
2025-04-27 11:20:29.387,1,0.27
2025-04-27 11:20:29.391,1,0.0
2025-04-27 11:20:29.395,1,0.27
2025-04-27 11:20:29.399,1,1.09
2025-04-27 11:20:29.403,1,2.45
2025-04-27 11:20:29.407,1,4.32
2025-04-27 11:20:29.411,1,6.7
2025-04-27 11:20:29.415,1,9.55
2025-04-27 11:20:29.419,1,12.84
2025-04-27 11:20:29.423,1,16.54
2025-04-27 11:20:29.427,1,20.61
2025-04-27 11:20:29.431,1,25.0
2025-04-27 11:20:29.435,1,29.66
2025-04-27 11:20:29.439,1,34.55
2025-04-27 11:20:29.443,1,39.6
2025-04-27 11:20:29.447,1,44.77
2025-04-27 11:20:29.451,1,50.0
2025-04-27 11:20:29.455,1,55.23
2025-04-27 11:20:29.459,1,60.4
2025-04-27 11:20:29.463,1,65.45
2025-04-27 11:20:29.467,1,70.34
2025-04-27 11:20:29.471,1,75.0
2025-04-27 11:20:29.475,1,79.39
2025-04-27 11:20:29.479,1,83.46
2025-04-27 11:20:29.483,1,87.16
2025-04-27 11:20:29.487,1,90.45
2025-04-27 11:20:29.491,1,93.3
2025-04-27 11:20:29.495,1,95.68
2025-04-27 11:20:29.499,1,97.55
2025-04-27 11:20:29.503,1,98.91
2025-04-27 11:20:29.507,1,99.73
2025-04-27 11:20:29.511,1,100.0
2025-04-27 11:20:29.515,1,99.73
2025-04-27 11:20:29.519,1,98.91
2025-04-27 11:20:29.523,1,97.55
2025-04-27 11:20:29.527,1,95.68
2025-04-27 11:20:29.531,1,93.3
2025-04-27 11:20:29.535,1,90.45
2025-04-27 11:20:29.539,1,87.16
2025-04-27 11:20:29.543,1,83.46
2025-04-27 11:20:29.547,1,79.39
2025-04-27 11:20:29.551,1,75.0
2025-04-27 11:20:29.555,1,70.34
2025-04-27 11:20:29.559,1,65.45
2025-04-27 11:20:29.563,1,60.4
2025-04-27 11:20:29.567,1,55.23
2025-04-27 11:20:29.571,1,50.0
2025-04-27 11:20:29.575,1,44.77
2025-04-27 11:20:29.579,1,39.6
2025-04-27 11:20:29.583,1,34.55
2025-04-27 11:20:29.587,1,29.66
2025-04-27 11:20:29.591,1,25.0
2025-04-27 11:20:29.595,1,20.61
2025-04-27 11:20:29.599,1,16.54
2025-04-27 11:20:29.603,1,12.84
2025-04-27 11:20:29.607,1,9.55
2025-04-27 11:20:29.611,1,6.7
2025-04-27 11:20:29.615,1,4.32
2025-04-27 11:20:29.619,1,2.45
2025-04-27 11:20:29.623,1,1.09
2025-04-27 11:20:29.627,1,0.27
2025-04-27 11:20:29.631,1,0.0
2025-04-27 11:20:29.635,1,0.27
2025-04-27 11:20:29.639,1,1.09
2025-04-27 11:20:29.643,1,2.45
2025-04-27 11:20:29.647,1,4.32
2025-04-27 11:20:29.651,1,6.7
2025-04-27 11:20:29.655,1,9.55
2025-04-27 11:20:29.659,1,12.84
2025-04-27 11:20:29.663,1,16.54
2025-04-27 11:20:29.667,1,20.61
2025-04-27 11:20:29.671,1,25.0
2025-04-27 11:20:29.675,1,29.66
